mass, year, reclat, reclong
797.7, 1981, -76.678440, 159.266140
379, 1981, -76.693890, 159.373060
515.5, 1981, -76.681390, 159.346670
3835.3, 1981, -76.690000, 159.263050
80.099999999999994, 1981, -76.690000, 159.263050
153, 1981, -76.689720, 159.277500
1851.6, 1981, -76.701390, 159.388610
1594.9, 1981, -76.705000, 159.379440
726.8, 1981, -76.698060, 159.387500
252.4, 1981, -76.721810, 158.758190
254.9, 1981, -76.729400, 158.800280
256.10000000000002, 1981, -76.696940, 159.267780
252.1, 1981, -76.717820, 158.709640
320.3, 1981, -76.716670, 159.666670
229, 1981, -76.689720, 159.265830
205.9, 1981, -76.693330, 159.183330
194.5, 1981, -76.684550, 159.261140
728.8, 1981, -76.721900, 158.761580
534.4, 1981, -76.722160, 158.763180
106, 1981, -76.718520, 158.764640
386.8, 1981, -76.719450, 158.765060
90.2, 1981, -76.710250, 158.783770
16.600000000000001, 1981, -76.714190, 158.778500
81.2, 1981, -76.710590, 158.784970
190.6, 1981, -76.721410, 158.762130
8.5, 1981, -76.710060, 158.782520
25.7, 1981, -76.710990, 158.786370
43, 1981, -76.710740, 158.786330
28.7, 1981, -76.717960, 158.807190
2.5, 1981, -76.688890, 159.358890
2.2, 1981, -76.684170, 159.356670
4.6, 1981, -76.685560, 159.357500
1.4, 1981, -76.684170, 159.356670
8.4, 1981, -76.685560, 159.357780
66.2, 1981, -76.717540, 158.732420
539.5, 1981, -76.717450, 158.733430
28.3, 1981, -76.701670, 159.400830
23.7, 1981, -76.701670, 159.400830
0.5, 1981, -76.658160, 159.320880
4.9, 1981, -76.658440, 159.319770
191, 1981, -76.693330, 159.383050
13.1, 1981, -76.688060, 159.360840
8.699999999999999, 1981, -76.688060, 159.360840
227.6, 1981, -76.695550, 159.330830
23.7, 1981, -76.687780, 159.360560
7.2, 1981, -76.687780, 159.360280
3.7, 1981, -76.679440, 159.342780
2.5, 1981, -76.683610, 159.338890
3.2, 1981, -76.697780, 159.397500
3.3, 1981, -76.697780, 159.397500
8, 1981, -76.697780, 159.397500
15.7, 1981, -76.703330, 159.368610
10.3, 1981, -76.704720, 159.363330
4.2, 1981, -76.691390, 159.387780
5.9, 1981, -76.691390, 159.387780
7.5, 1981, -76.691390, 159.387780
16.7, 1981, -76.691390, 159.387780
5, 1981, -76.692220, 159.390550
5.9, 1981, -76.692220, 159.390550
6.6, 1981, -76.692220, 159.390550
15.7, 1981, -76.692220, 159.390550
16.2, 1981, -76.693060, 159.392220
5.7, 1981, -76.693060, 159.392220
8.4, 1981, -76.692780, 159.392220
3.8, 1981, -76.693060, 159.391940
11.2, 1981, -76.693060, 159.391940
9.5, 1981, -76.693060, 159.392220
12.2, 1981, -76.692780, 159.391670
15.6, 1981, -76.693060, 159.391940
271, 1981, -76.716670, 159.666670
152, 1981, -76.714960, 158.785410
58.8, 1981, -76.711920, 158.783270
83, 1981, -76.663440, 159.330890
79.900000000000006, 1981, -76.767500, 159.322220
70.900000000000006, 1981, -76.714700, 158.744670
151.6, 1981, -76.731690, 158.807150
154.6, 1981, -76.716670, 159.666670
119.2, 1981, -76.751390, 159.333610
196, 1981, -76.698610, 159.395830
136.1, 1981, -76.824900, 158.208060
183.8, 1981, -76.716010, 158.746790
92.7, 1981, -76.681220, 159.260860
48.3, 1981, -76.716690, 158.730600
139.6, 1981, -76.774170, 159.283060
69.099999999999994, 1981, -76.700280, 159.342500
1.1, 1981, -76.684440, 159.340000
3, 1981, -76.684440, 159.357220
210.3, 1981, -76.824680, 158.211350
150.30000000000001, 1981, -76.681210, 159.265310
111.1, 1981, -76.711400, 158.778330
79.3, 1981, -76.688890, 159.252780
154.9, 1981, -76.674550, 159.261140
1.7, 1981, -76.688890, 159.363890
32.9, 1981, -76.699170, 159.396390
84.7, 1981, -76.663440, 159.318940
107.4, 1981, -76.717280, 158.713750
13.8, 1981, -76.703890, 159.359720
88.4, 1981, -76.703060, 159.399720
20.9, 1981, -76.701390, 159.403330
2, 1981, -76.713030, 158.797790
9.300000000000001, 1981, -76.701940, 159.367220
10.199999999999999, 1981, -76.684440, 159.357220
21.5, 1981, -76.687500, 159.358050
15.4, 1981, -76.706670, 159.414440
15.9, 1981, -76.688050, 159.360280
31.6, 1981, -76.690000, 159.342780
29.9, 1981, -76.693890, 159.393610
12.9, 1981, -76.692220, 159.295000
5.4, 1981, -76.693610, 159.343330
20.7, 1981, -76.693890, 159.391940
15.4, 1981, -76.709440, 159.385830
9.5, 1981, -76.694720, 159.389440
1.2, 1981, -76.687220, 159.356950
9.4, 1981, -76.694720, 159.389720
4.3, 1981, -76.688610, 159.380000
7.1, 1981, -76.689170, 159.346390
14.4, 1981, -76.709450, 159.368890
1.5, 1981, -76.684440, 159.358060
1.2, 1981, -76.658160, 159.321440
12.5, 1981, -76.679720, 159.336940
3, 1981, -76.686110, 159.350560
21.1, 1981, -76.691670, 159.291950
23.8, 1981, -76.709170, 159.387780
1.7, 1981, -76.694720, 159.390280
13.3, 1981, -76.705280, 159.360830
8.800000000000001, 1981, -76.688610, 159.383330
1.9, 1981, -76.691110, 159.386110
5.1, 1981, -76.696390, 159.383890
10.3, 1981, -76.685830, 159.338890
4.2, 1981, -76.688890, 159.379720
1.1, 1981, -76.682500, 159.347500
4.5, 1981, -76.691940, 159.391110
19.7, 1981, -76.694720, 159.389440
11.8, 1981, -76.691390, 159.385830
2.4, 1981, -76.688060, 159.380000
10.3, 1981, -76.716670, 159.666670
11.7, 1981, -76.716670, 159.354720
122.2, 1981, -76.713820, 158.771080
59.4, 1981, -76.691390, 159.290000
82.2, 1981, -76.704170, 159.397500
20.100000000000001, 1981, -76.687780, 159.360560
6.3, 1981, -76.662050, 159.336450
26.3, 1981, -76.687220, 159.353330
58.5, 1981, -76.816030, 158.154000
8.199999999999999, 1981, -76.682780, 159.347220
5.6, 1981, -76.681390, 159.344450
59, 1981, -76.699450, 159.307500
23.7, 1981, -76.688610, 159.379720
33.4, 1981, -76.700560, 159.366110
25.8, 1981, -76.701110, 159.251390
33.299999999999997, 1981, -76.676490, 159.251960
13.2, 1981, -76.707780, 159.367500
94.5, 1981, -76.699170, 159.397500
17.3, 1981, -76.691390, 159.390000
29.9, 1981, -76.689170, 159.383610
13.7, 1981, -76.722780, 159.371110
16.600000000000001, 1981, -76.698610, 159.396390
15, 1981, -76.701110, 159.403050
4.6, 1981, -76.677050, 159.266970
104.2, 1981, -76.668990, 159.303650
16.7, 1981, -76.677050, 159.266420
64.900000000000006, 1981, -76.714700, 158.744670
22.7, 1981, -76.709440, 159.370000
40, 1981, -76.692780, 159.318330
8.699999999999999, 1981, -76.657050, 159.323110
2.6, 1981, -76.723330, 159.275000
48.3, 1981, -76.703330, 159.396670
30.4, 1981, -76.690560, 159.351390
8.9, 1981, -76.670940, 159.323660
13.4, 1981, -76.691940, 159.388050
17, 1981, -76.688060, 159.360840
4.9, 1981, -76.688330, 159.361390
9.4, 1981, -76.658160, 159.320880
67.7, 1981, -76.716620, 158.733960
0.5, 1981, -76.693610, 159.394170
16, 1981, -76.683060, 159.346110
9.5, 1981, -76.682500, 159.330000
6.5, 1981, -76.685550, 159.333050
5.4, 1981, -76.694720, 159.384170
3.8, 1981, -76.693330, 159.392500
7.3, 1981, -76.688060, 159.361110
2.8, 1981, -76.695000, 159.386110
3.8, 1981, -76.681110, 159.346110
14.1, 1981, -76.710490, 158.784810
1.6, 1981, -76.684170, 159.357500
13.9, 1981, -76.714520, 158.796640
0.6, 1981, -76.688890, 159.383050
7.2, 1981, -76.687500, 159.358050
11.5, 1981, -76.680380, 159.277530
2.9, 1981, -76.686390, 159.348890
4.4, 1981, -76.687780, 159.360000
11.2, 1981, -76.715560, 159.289170
2.4, 1981, -76.657050, 159.323390
5.4, 1981, -76.700000, 159.368610
5.5, 1981, -76.684170, 159.353050
24.4, 1981, -76.683330, 159.297500
3.5, 1981, -76.683060, 159.347500
9.199999999999999, 1981, -76.713080, 158.781660
9.5, 1981, -76.712220, 159.344440
13.6, 1981, -76.686670, 159.343330
13.9, 1981, -76.704170, 159.364720
2.9, 1981, -76.683330, 159.348610
11.3, 1981, -76.693060, 159.392500
7.7, 1981, -76.691940, 159.388050
40, 1981, -76.692220, 159.349720
12.5, 1981, -76.688890, 159.364440
9.199999999999999, 1981, -76.701110, 159.403330
4.6, 1981, -76.687220, 159.356390
25, 1981, -76.662050, 159.346170
4.7, 1981, -76.688610, 159.363890
6.7, 1981, -76.681110, 159.344170
40.9, 1981, -76.704720, 159.340560
26.9, 1981, -76.687780, 159.356670
24.1, 1981, -76.698490, 159.395960
31.6, 1981, -76.668160, 159.294760
41.3, 1981, -76.689720, 159.250830
34.200000000000003, 1981, -76.714640, 158.798030
19.899999999999999, 1981, -76.691670, 159.299450
15, 1981, -76.689440, 159.384170
4.6, 1981, -76.698060, 159.259450
3.8, 1981, -76.688610, 159.380000
3.4, 1981, -76.706110, 159.411390
104.2, 1981, -76.716640, 158.730720
4.9, 1981, -76.684440, 159.357220
10.4, 1981, -76.707780, 159.377220
16.899999999999999, 1981, -76.694170, 159.393610
158, 1981, -76.679720, 159.336390
2.1, 1981, -76.688890, 159.364170
10.199999999999999, 1981, -76.688060, 159.361390
8.6, 1981, -76.687500, 159.353610
11.5, 1981, -76.696110, 159.387780
28.5, 1981, -76.672600, 159.276700
28.7, 1981, -76.658990, 159.343950
1.1, 1981, -76.710150, 158.782640
9.9, 1981, -76.699720, 159.398890
124.1, 1981, -76.822250, 158.183000
11.8, 1981, -76.691110, 159.386950
55.5, 1981, -76.773330, 159.278610
6, 1981, -76.698050, 159.337780
7.5, 1981, -76.700830, 159.403060
12.3, 1981, -76.764800, 159.293440
26.8, 1981, -76.711760, 158.786700
17.899999999999999, 1981, -76.677600, 159.311160
4.7, 1981, -76.687500, 159.358050
3.8, 1981, -76.659270, 159.343670
27.6, 1981, -76.706670, 159.414170
22.9, 1981, -76.700830, 159.402220
42.8, 1981, -76.712220, 159.345830
18.5, 1981, -76.695000, 159.386670
11.1, 1981, -76.703610, 159.360000
42.3, 1981, -76.687220, 159.263060
6.6, 1981, -76.691390, 159.387780
1.1, 1981, -76.661490, 159.332280
27.1, 1981, -76.717200, 158.730280
54.9, 1981, -76.701390, 159.400280
45.6, 1981, -76.672880, 159.279760
31.1, 1981, -76.698330, 159.396670
0.6, 1981, -76.689170, 159.364170
9.9, 1981, -76.680830, 159.344440
20, 1981, -76.659550, 159.312550
27.9, 1981, -76.690000, 159.360000
77.599999999999994, 1981, -76.714700, 158.776720
19.8, 1981, -76.693890, 159.394170
4.2, 1981, -76.688610, 159.368890
1.5, 1981, -76.685830, 159.343050
3.9, 1981, -76.691670, 159.390280
12.9, 1981, -76.690830, 159.355000
2, 1981, -76.684170, 159.341390
8.6, 1981, -76.688890, 159.347220
105.1, 1981, -76.713720, 158.779380
12.7, 1981, -76.697500, 159.397220
20.100000000000001, 1981, -76.680830, 159.345830
16.2, 1981, -76.709170, 159.359160
0.5, 1981, -76.688060, 159.355830
10.3, 1981, -76.706670, 159.309720
12.5, 1981, -76.691110, 159.295830
4.2, 1981, -76.692500, 159.391110
3.7, 1981, -76.681390, 159.344450
42.1, 1981, -76.671490, 159.282530
1.1, 1981, -76.676770, 159.267530
7.1, 1981, -76.687780, 159.360000
56.9, 1981, -76.693060, 159.299720
18.7, 1981, -76.747500, 159.376390
0.6, 1981, -76.684170, 159.357220
0.7, 1981, -76.691940, 159.390550
0.9, 1981, -76.687500, 159.358050
0.7, 1981, -76.688610, 159.383050
0.5, 1981, -76.689170, 159.364170
2.9, 1981, -76.688610, 159.368890
2.5, 1981, -76.688610, 159.368890
0.7, 1981, -76.710590, 158.784970
0.4, 1981, -76.693610, 159.394160
1407, 1923, 33.100000, -96.700000
6570, 1978, 33.100000, -102.950000
3180, 1949, 39.600000, -100.116670
8000, 1992, 30.666670, -5.166670
4000, 1898, 49.766670, 18.250000
21500, 1932, 40.566670, -110.483330
17500, 1976, 43.322220, -96.288890
239, 1991, 24.947780, 6.943060
4532, 1934, 35.166670, -97.883330
1.2, 1889, 20.583330, -104.066670
8500, 1947, 40.800000, -99.200000
26.6, 1898, 49.650000, 29.633330
14800, 1916, 44.250000, -88.250000
13500, 1916, 52.333330, -104.866670
1108, 1961, 45.200000, -93.433330
5.92, 2006, 32.734580, -2.957970
3900, 1972, 39.333330, -97.561670
11090, 1970, -21.659720, 140.906940
754, 2012, 40.901830, -118.544650
20000, 1919, 37.083330, -98.050000
347.36, 2011, 32.005840, -106.560280
41800, 1965, 33.782500, -102.181110
100000, 1981, 66.900000, 164.200000
195, 2000, 31.666670, -4.066670
25000, , 33.450000, -111.516670
6.1, 1938, 39.750000, -105.200000
85000, 1889, 17.700000, -97.000000
54600, 1969, 53.300000, 126.116670
1000, 1955, , 
145, 2006, , 
54, 2006, , 
56, 2006, , 
31, 2006, , 
146, 2005, , 
67, 2005, , 
19083, 1940, 38.800000, -102.200000
4460, 2001, 29.060000, 74.440000
132000, 1973, 55.141670, 48.200000
19400, 1937, 41.416670, -99.100000
985.8, 1972, 34.150000, -103.220000
534, 2001, 38.688670, -109.585170
114.3, 1999, 18.212330, 10.177670
84, 1940, 37.266670, -97.766670
683000, 1896, 30.333330, -109.983330
30.1, 1999, 31.593910, -111.370230
8940, 1894, 44.600000, -94.100000
20.100000000000001, 2002, 18.673000, 7.342250
18100, 1908, -23.333330, 134.666670
28000000, 1898, 47.000000, 88.000000
9200, 1967, 39.766670, -102.133330
5300, 1960, -26.500000, 141.083330
462, 1955, 20.600000, 52.500000
31100, 1936, 39.300000, -103.250000
20810, 1914, -29.066670, 139.916670
1530, 1999, -25.433330, 17.916670
, , , 
800, 1839, 35.583330, -82.533330
27000, 1901, 35.250000, -112.500000
55400, 1969, 32.900000, -102.283330
935, 1961, 21.875000, 49.719440
14566, 2008, 29.359440, 14.255280
11953, 2008, 29.379720, 14.269720
2900, 2008, 29.358330, 14.248330
15750, 2008, 29.365830, 14.276110
335, 2010, 29.394500, 14.292330
2700, 1846, 26.000000, 92.000000
4400, 2002, 19.266670, 5.916670
, 1954, 22.750000, 51.166670
5855, 1960, 21.254170, 55.305000
46.42, 1986, -72.833330, 24.500000
1595, 1986, -72.833330, 24.500000
565.61, 1986, -72.833330, 24.500000
1.76, 1987, -72.000000, 26.000000
1071.8599999999999, 1987, -72.000000, 26.000000
2066.83, 1987, -72.000000, 26.000000
20.75, 1987, -72.000000, 26.000000
26.23, 1987, -72.000000, 26.000000
35.020000000000003, 1987, -72.000000, 26.000000
28.71, 1987, -72.000000, 26.000000
31.08, 1987, -72.000000, 26.000000
17.52, 1987, -72.000000, 26.000000
53.52, 1987, -72.000000, 26.000000
21.14, 1987, -72.000000, 26.000000
5443.51, 1987, -72.000000, 26.000000
15.21, 1987, -72.000000, 26.000000
19064.5, 1987, -72.000000, 26.000000
85.94, 1987, -72.000000, 26.000000
91.74, 1987, -72.000000, 26.000000
35.6, 1987, -72.000000, 26.000000
29.61, 1987, -72.000000, 26.000000
10.88, 1987, -72.000000, 26.000000
847.07, 1987, -72.000000, 26.000000
71.87, 1987, -72.000000, 26.000000
53.25, 1987, -72.000000, 26.000000
31.8, 1987, -72.000000, 26.000000
22.95, 1987, -72.000000, 26.000000
15.01, 1987, -72.000000, 26.000000
69.63, 1987, -72.000000, 26.000000
17.27, 1987, -72.000000, 26.000000
24.09, 1987, -72.000000, 26.000000
56.47, 1987, -72.000000, 26.000000
13.57, 1987, -72.000000, 26.000000
13.9, 1987, -72.000000, 26.000000
11.23, 1987, -72.000000, 26.000000
16.82, 1987, -72.000000, 26.000000
10.75, 1987, -72.000000, 26.000000
417.07, 1987, -72.000000, 26.000000
18.690000000000001, 1987, -72.000000, 26.000000
17.38, 1987, -72.000000, 26.000000
86.71, 1987, -72.000000, 26.000000
253.65, 1987, -72.000000, 26.000000
35.19, 1987, -72.000000, 26.000000
311.57, 1987, -72.000000, 26.000000
76.73, 1987, -72.000000, 26.000000
74.900000000000006, 1987, -72.000000, 26.000000
1.36, 1987, -72.000000, 26.000000
32.31, 1987, -72.000000, 26.000000
350.91, 1987, -72.000000, 26.000000
39.19, 1987, -72.000000, 26.000000
15.9, 1987, -72.000000, 26.000000
12.22, 1987, -72.000000, 26.000000
61.5, 1987, -72.000000, 26.000000
19.12, 1987, -72.000000, 26.000000
909.55, 1987, -72.000000, 26.000000
20.23, 1987, -72.000000, 26.000000
19.309999999999999, 1987, -72.000000, 26.000000
156.82, 1987, -72.000000, 26.000000
66.849999999999994, 1987, -72.000000, 26.000000
98.26, 1987, -72.000000, 26.000000
29.69, 1987, -72.000000, 26.000000
56.16, 1987, -72.000000, 26.000000
27.99, 1987, -72.000000, 26.000000
29.46, 1987, -72.000000, 26.000000
94.56, 1987, -72.000000, 26.000000
118.72, 1987, -72.000000, 26.000000
205.39, 1987, -72.000000, 26.000000
229.74, 1987, -72.000000, 26.000000
119.32, 1987, -72.000000, 26.000000
33.19, 1987, -72.000000, 26.000000
28.99, 1987, -72.000000, 26.000000
142.51, 1987, -72.000000, 26.000000
115.39, 1987, -72.000000, 26.000000
148.19, 1987, -72.000000, 26.000000
71.760000000000005, 1987, -72.000000, 26.000000
20.3, 1987, -72.000000, 26.000000
42.66, 1987, -72.000000, 26.000000
35.58, 1987, -72.000000, 26.000000
106.46, 1987, -72.000000, 26.000000
37.89, 1987, -72.000000, 26.000000
49.13, 1987, -72.000000, 26.000000
58.59, 1987, -72.000000, 26.000000
568.91999999999996, 1987, -72.000000, 26.000000
262.39999999999998, 1987, -72.000000, 26.000000
246.66, 1987, -72.000000, 26.000000
29.44, 1987, -72.000000, 26.000000
377.67, 1987, -72.000000, 26.000000
98.42, 1987, -72.000000, 26.000000
45.52, 1987, -72.000000, 26.000000
50.22, 1987, -72.000000, 26.000000
285.83, 1987, -72.000000, 26.000000
43.57, 1987, -72.000000, 26.000000
79.34, 1987, -72.000000, 26.000000
93.75, 1987, -72.000000, 26.000000
32.69, 1987, -72.000000, 26.000000
241.93, 1987, -72.000000, 26.000000
72.77, 1987, -72.000000, 26.000000
133.04, 1987, -72.000000, 26.000000
60.7, 1987, -72.000000, 26.000000
11.16, 1987, -72.000000, 26.000000
55, 1987, -72.000000, 26.000000
13.84, 1987, -72.000000, 26.000000
48.86, 1987, -72.000000, 26.000000
29.67, 1987, -72.000000, 26.000000
31.85, 1987, -72.000000, 26.000000
30.01, 1987, -72.000000, 26.000000
57.29, 1987, -72.000000, 26.000000
35.24, 1987, -72.000000, 26.000000
54.41, 1987, -72.000000, 26.000000
67.44, 1987, -72.000000, 26.000000
87.43, 1987, -72.000000, 26.000000
26.26, 1987, -72.000000, 26.000000
73.099999999999994, 1987, -72.000000, 26.000000
168.06, 1987, -72.000000, 26.000000
124.99, 1987, -72.000000, 26.000000
34.36, 1987, -72.000000, 26.000000
77.760000000000005, 1987, -72.000000, 26.000000
449.09, 1987, -72.000000, 26.000000
138.74, 1987, -72.000000, 26.000000
54.85, 1987, -72.000000, 26.000000
27.73, 1987, -72.000000, 26.000000
55.41, 1987, -72.000000, 26.000000
33.9, 1987, -72.000000, 26.000000
55.48, 1987, -72.000000, 26.000000
37.65, 1987, -72.000000, 26.000000
16.89, 1987, -72.000000, 26.000000
43.16, 1987, -72.000000, 26.000000
73.44, 1987, -72.000000, 26.000000
29.45, 1987, -72.000000, 26.000000
15.78, 1987, -72.000000, 26.000000
139.19999999999999, 1987, -72.000000, 26.000000
54.08, 1987, -72.000000, 26.000000
65.930000000000007, 1987, -72.000000, 26.000000
63, 1987, -72.000000, 26.000000
18.12, 1987, -72.000000, 26.000000
68.03, 1987, -72.000000, 26.000000
162.88999999999999, 1987, -72.000000, 26.000000
63.28, 1987, -72.000000, 26.000000
224.45, 1987, -72.000000, 26.000000
12.05, 1987, -72.000000, 26.000000
97.09, 1987, -72.000000, 26.000000
51.62, 1987, -72.000000, 26.000000
134.19, 1987, -72.000000, 26.000000
30.09, 1987, -72.000000, 26.000000
93.46, 1987, -72.000000, 26.000000
28.53, 1987, -72.000000, 26.000000
451.34, 1987, -72.000000, 26.000000
569.95000000000005, 1987, -72.000000, 26.000000
151.9, 1987, -72.000000, 26.000000
29.68, 1987, -72.000000, 26.000000
797.69, 1987, -72.000000, 26.000000
618.53, 1987, -72.000000, 26.000000
428.66, 1987, -72.000000, 26.000000
115.03, 1987, -72.000000, 26.000000
97.65, 1987, -72.000000, 26.000000
288.38, 1987, -72.000000, 26.000000
14.16, 1987, -72.000000, 26.000000
181.2, 1987, -72.000000, 26.000000
46000, 1987, -72.000000, 26.000000
21.33, 1987, -72.000000, 26.000000
20.53, 1987, -72.000000, 26.000000
28.27, 1987, -72.000000, 26.000000
120.56, 1987, -72.000000, 26.000000
17.91, 1987, -72.000000, 26.000000
770.11, 1987, -72.000000, 26.000000
20.170000000000002, 1987, -72.000000, 26.000000
68.97, 1987, -72.000000, 26.000000
221.43, 1987, -72.000000, 26.000000
18.239999999999998, 1987, -72.000000, 26.000000
28.65, 1987, -72.000000, 26.000000
10.24, 1987, -72.000000, 26.000000
25.7, 1987, -72.000000, 26.000000
16.440000000000001, 1987, -72.000000, 26.000000
5706, 1987, -72.000000, 26.000000
244.45, 1987, -72.000000, 26.000000
572.32000000000005, 1987, -72.000000, 26.000000
250.02, 1987, -72.000000, 26.000000
176, 1987, -72.000000, 26.000000
88.22, 1987, -72.000000, 26.000000
34.68, 1987, -72.000000, 26.000000
52.61, 1987, -72.000000, 26.000000
123.35, 1987, -72.000000, 26.000000
34.33, 1987, -72.000000, 26.000000
61.25, 1987, -72.000000, 26.000000
47.1, 1987, -72.000000, 26.000000
21.26, 1987, -72.000000, 26.000000
46.79, 1987, -72.000000, 26.000000
20.64, 1987, -72.000000, 26.000000
154.59, 1987, -72.000000, 26.000000
11.85, 1987, -72.000000, 26.000000
17.64, 1987, -72.000000, 26.000000
14.79, 1987, -72.000000, 26.000000
27.87, 1987, -72.000000, 26.000000
59.37, 1987, -72.000000, 26.000000
6060, 1987, -72.000000, 26.000000
189.36, 1987, -72.000000, 26.000000
13.6, 1987, -72.000000, 26.000000
101.42, 1987, -72.000000, 26.000000
509.58, 1987, -72.000000, 26.000000
32.56, 1987, -72.000000, 26.000000
19.71, 1987, -72.000000, 26.000000
24.98, 1987, -72.000000, 26.000000
211.13, 1987, -72.000000, 26.000000
172.2, 1987, -72.000000, 26.000000
650.84, 1987, -72.000000, 26.000000
381.64, 1987, -72.000000, 26.000000
114.88, 1987, -72.000000, 26.000000
65.38, 1987, -72.000000, 26.000000
169.33, 1987, -72.000000, 26.000000
24.58, 1987, -72.000000, 26.000000
270.36, 1987, -72.000000, 26.000000
150.84, 1987, -72.000000, 26.000000
88.9, 1987, -72.000000, 26.000000
544.26, 1987, -72.000000, 26.000000
203.2, 1987, -72.000000, 26.000000
467.39, 1987, -72.000000, 26.000000
914.24, 1987, -72.000000, 26.000000
483.25, 1987, -72.000000, 26.000000
187.2, 1987, -72.000000, 26.000000
637.91, 1987, -72.000000, 26.000000
38.72, 1987, -72.000000, 26.000000
386.8, 1987, -72.000000, 26.000000
2642, 1987, -72.000000, 26.000000
524.72, 1987, -72.000000, 26.000000
1103.1500000000001, 1987, -72.000000, 26.000000
127.46, 1987, -72.000000, 26.000000
514.79, 1987, -72.000000, 26.000000
417.49, 1987, -72.000000, 26.000000
22.18, 1987, -72.000000, 26.000000
73.78, 1987, -72.000000, 26.000000
132.11000000000001, 1987, -72.000000, 26.000000
19.59, 1987, -72.000000, 26.000000
19.36, 1987, -72.000000, 26.000000
1268.8399999999999, 1987, -72.000000, 26.000000
14.34, 1988, -72.000000, 26.000000
10.86, 1988, -72.000000, 26.000000
11.29, 1988, -72.000000, 26.000000
61.4, 1988, -72.000000, 26.000000
37.979999999999997, 1988, -72.000000, 26.000000
43.31, 1988, -72.000000, 26.000000
100.55, 1988, -72.000000, 26.000000
57.45, 1988, -72.000000, 26.000000
25.67, 1988, -72.000000, 26.000000
54.97, 1988, -72.000000, 26.000000
28.71, 1988, -72.000000, 26.000000
91.36, 1988, -72.000000, 26.000000
24.19, 1988, -72.000000, 26.000000
79.2, 1988, -72.000000, 26.000000
19.149999999999999, 1988, -72.000000, 26.000000
62.11, 1988, -72.000000, 26.000000
190.86, 1988, -72.000000, 26.000000
11.94, 1988, -72.000000, 26.000000
496.51, 1988, -72.000000, 26.000000
74.39, 1988, -72.000000, 26.000000
35.479999999999997, 1988, -72.000000, 26.000000
16.07, 1988, -72.000000, 26.000000
99.57, 1988, -72.000000, 26.000000
48.63, 1988, -72.000000, 26.000000
59.48, 1988, -72.000000, 26.000000
12.66, 1988, -72.000000, 26.000000
91.68, 1988, -72.000000, 26.000000
47.26, 1988, -72.000000, 26.000000
23.58, 1988, -72.000000, 26.000000
30.6, 1988, -72.000000, 26.000000
10.63, 1988, -72.000000, 26.000000
11.72, 1988, -72.000000, 26.000000
16.61, 1988, -72.000000, 26.000000
553.61, 1988, -72.000000, 26.000000
41.25, 1988, -72.000000, 26.000000
14.74, 1988, -72.000000, 26.000000
149.15, 1988, -72.000000, 26.000000
107.84, 1988, -72.000000, 26.000000
99.31, 1988, -72.000000, 26.000000
88.68, 1988, -72.000000, 26.000000
7.18, 1988, -72.000000, 26.000000
154.22999999999999, 1988, -72.000000, 26.000000
36.49, 1988, -72.000000, 26.000000
99.38, 1988, -72.000000, 26.000000
40.1, 1988, -72.000000, 26.000000
53.14, 1988, -72.000000, 26.000000
41.01, 1988, -72.000000, 26.000000
65.98, 1988, -72.000000, 26.000000
29.35, 1988, -72.000000, 26.000000
16.8, 1988, -72.000000, 26.000000
21.16, 1988, -72.000000, 26.000000
30.21, 1988, -72.000000, 26.000000
133.16999999999999, 1988, -72.000000, 26.000000
34.57, 1988, -72.000000, 26.000000
83.42, 1988, -72.000000, 26.000000
11.5, 1988, -72.000000, 26.000000
128.91, 1988, -72.000000, 26.000000
27.64, 1988, -72.000000, 26.000000
20.350000000000001, 1988, -72.000000, 26.000000
18.96, 1988, -72.000000, 26.000000
33.78, 1988, -72.000000, 26.000000
17.84, 1988, -72.000000, 26.000000
38.32, 1988, -72.000000, 26.000000
14.1, 1988, -72.000000, 26.000000
20.420000000000002, 1988, -72.000000, 26.000000
20.350000000000001, 1988, -72.000000, 26.000000
19.93, 1988, -72.000000, 26.000000
18, 1988, -72.000000, 26.000000
18.899999999999999, 1988, -72.000000, 26.000000
385.28, 1988, -72.000000, 26.000000
112.96, 1988, -72.000000, 26.000000
38.78, 1988, -72.000000, 26.000000
60.26, 1988, -72.000000, 26.000000
42.37, 1988, -72.000000, 26.000000
22.5, 1988, -72.000000, 26.000000
19.559999999999999, 1988, -72.000000, 26.000000
28.77, 1988, -72.000000, 26.000000
36.630000000000003, 1988, -72.000000, 26.000000
10.37, 1988, -72.000000, 26.000000
138.69, 1988, -72.000000, 26.000000
12.96, 1988, -72.000000, 26.000000
327.5, 1988, -72.000000, 26.000000
44.31, 1988, -72.000000, 26.000000
10.52, 1988, -72.000000, 26.000000
11.88, 1988, -72.000000, 26.000000
51.64, 1988, -72.000000, 26.000000
33.200000000000003, 1988, -72.000000, 26.000000
15.22, 1988, -72.000000, 26.000000
14.67, 1988, -72.000000, 26.000000
59.58, 1988, -72.000000, 26.000000
111.85, 1988, -72.000000, 26.000000
16.239999999999998, 1988, -72.000000, 26.000000
1909.25, 1988, -72.000000, 26.000000
41.42, 1988, -72.000000, 26.000000
30.18, 1988, -72.000000, 26.000000
44.29, 1988, -72.000000, 26.000000
113.2, 1988, -72.000000, 26.000000
16.579999999999998, 1988, -72.000000, 26.000000
78.239999999999995, 1988, -72.000000, 26.000000
48.72, 1988, -72.000000, 26.000000
11.06, 1988, -72.000000, 26.000000
13.01, 1988, -72.000000, 26.000000
