mass, year, reclat, reclong
11500, 1871, -6.916670, 107.600000
15000, 1892, 27.700000, 76.333330
14, 1913, 30.400000, 78.200000
629, 1933, -6.333330, 106.000000
6400, 1790, 43.950000, -0.050000
, 1704, 41.366670, 2.166670
3200, 1842, 42.383330, -2.500000
23.2, 1904, 52.733330, 84.083330
17, 1886, 52.000000, 9.100000
4500, 1910, 31.616670, 76.800000
44000, 1965, 52.565280, -1.339720
29560, 2006, 15.783330, -5.900000
15500, 1994, 52.033330, 20.935830
21000, 1892, 45.416670, -98.316670
86000, 1902, 38.250000, -83.750000
2900, 2012, 40.668130, -117.189130
1557, 1989, 11.083330, -0.183330
611, 1916, 36.750000, -93.500000
16000, 1929, 39.800000, -101.200000
14000, 1893, 51.166670, -117.333330
794, 1949, 53.016670, -4.100000
375, 1961, 33.600000, -96.466670
, 1937, -32.333330, -64.866670
3700, 1798, 25.366670, 82.916670
25000, 2004, 32.250000, -8.150000
19000, 2001, 32.866670, 10.800000
1770.5, 1938, 39.083330, -89.150000
3880, 1943, -26.166670, 28.416670
45000, 2002, 30.000000, -7.000000
2840, 1949, 45.950000, -67.550000
270, 2008, -31.910000, -58.328330
18000, 1924, 11.650000, -3.650000
1440, 1811, 41.683330, -3.800000
960, 2004, 40.305830, -105.023250
13.9, 1859, 42.533330, -73.833330
2000, 1859, 43.216670, -0.233330
1100, 1921, 33.883330, 35.500000
18, 1877, 20.883330, 74.833330
678, 2002, 26.508330, 73.115280
100, 1893, 20.833330, 71.466670
1047, 1940, 22.683330, 90.650000
2500, 1905, 22.083330, 86.900000
4000, 1827, 53.100000, 23.200000
1900, 1887, 50.133330, 27.166670
25000, 1999, 12.450000, -0.083330
488.1, 1984, -33.156390, 115.676390
560, 1923, 13.766670, 5.300000
6000, 1843, 34.166670, -80.283330
1039, 1895, 25.383330, 82.600000
1850, 1796, 49.783330, 30.166670
330000, 1899, 60.400000, 25.800000
705, 1941, 40.916670, -78.083330
2381, 1906, 36.833330, -97.333330
5100, 1909, 31.833330, -98.833330
470, 1833, 49.366670, 16.633330
67.8, 1938, 40.480000, -89.004170
7500, 1977, 33.833330, 115.833330
56, 1804, 23.000000, -102.000000
8800, 1962, 12.500000, 0.700000
256000, 1916, 44.550000, 131.633330
1676, 1808, 44.866670, 10.050000
8600, 1894, 21.950000, 78.033330
1342, 1930, 54.233330, 52.483330
7000, 1852, 48.150000, 24.283330
500, 1812, 55.466670, 35.866670
614, 1823, 51.333330, 33.883330
190, 2003, 17.710670, -11.371500
3599, 2011, 17.174930, -11.341330
5460, 1969, 54.566670, -6.333330
762, 1886, 40.500000, -80.083330
39000, 1847, 50.600000, 16.300000
1500, 1956, 50.666940, 8.183610
7250, 1855, 53.400000, 9.100000
219, 1933, 52.133330, 59.316670
303000, 1960, 53.900000, -112.883330
5300, 2001, 39.779780, 64.600350
2250, 1964, , 
324, 2007, -31.350000, 129.190000
357, 1942, 10.016670, 9.583330
120000, 1919, 5.000000, 48.000000
1504, 1990, 37.621940, -82.237220
25000, 1946, 40.200000, 29.233330
5000, 1863, 46.450000, 25.783330
1500, 1852, 26.783330, 82.833330
29000, 1861, 27.083330, 84.083330
41000, 2008, 52.996000, -109.848170
25000, 1870, 37.983330, -1.166670
48500, 1886, 35.500000, -93.500000
212, 1919, 43.838890, 20.333330
478, 2007, 3.405000, -76.510000
2400, 1916, 11.750000, 122.333330
23680, 1991, -7.033330, -40.166670
4000, 1964, 39.800000, 26.600000
945, 1861, 41.250000, 1.666670
34000, 1866, 43.383330, -5.150000
1400, 1973, 38.470280, -105.241390
2300, 1846, 37.266670, -89.583330
750, 1934, -30.883330, -64.550000
342, 2007, -16.664440, -69.043890
8, 1902, 38.500000, 27.000000
7300, 1874, 36.083330, -78.066670
, 1791, 43.350000, 11.500000
94, 1848, 44.383330, -68.750000
15000, 1583, 39.800000, 16.200000
1360, 1810, 36.500000, -79.250000
1025, 1988, 26.466670, -105.233330
45.6, 1956, 43.200000, -96.916670
6460, 1840, 45.083330, 8.300000
3700, 1998, 28.533330, 109.316670
0.5, 1814, 25.366670, 81.666670
8200, 1907, 25.850000, 83.483330
18300, 1933, -30.783330, -58.050000
8800, 1838, 20.266670, 76.016670
1100, 1885, 27.283330, 79.050000
1810, 1977, 29.083330, 111.750000
31500, 1812, 46.683330, 1.050000
4300, 1835, 36.166670, -87.333330
27000, 1810, 47.933330, 1.566670
12000, 1834, 29.483330, 75.500000
4000, 1815, 47.716670, 5.366670
30000, 1841, 47.933330, 2.916670
2945, 1925, 41.933330, -7.466670
2936, 1988, -3.666670, 32.500000
100000, 2013, 54.816670, 61.116670
100000, 2007, 23.696390, -5.014720
6000, 1964, 53.700000, 30.100000
8400, 1933, 35.033330, -81.883330
705, 1901, 46.550000, 6.816670
1700, 1939, 50.833330, 34.000000
72, 1880, 14.500000, 76.500000
367, 1981, 17.900000, 101.633330
303, 1938, 40.933330, -79.733330
3920, 1988, -10.059440, 33.395000
, 1966, -17.350000, 13.966670
4000, 1978, 47.470830, 0.976670
1600, 1979, -6.950000, 108.100000
1455, 1984, 32.102500, -81.872780
48.6, 1822, , 
104000, 1917, 44.900000, -90.283330
5200, 1838, -33.133330, 19.383330
469, 1994, 43.761110, -84.507780
5000, 1890, 42.533330, 12.616670
20350, 1965, -19.850000, -47.550000
1200, 1844, 21.166670, -100.866670
1460, 1917, 10.200000, 76.266670
78.400000000000006, 1936, 35.950000, -97.583330
3650, 1877, -27.700000, 27.300000
167, 1892, 35.633330, -78.133330
4255, 1902, 54.616670, -6.216670
17000, 1919, 36.833330, -84.350000
6000, 1877, 38.400000, -84.250000
18000, 1981, 35.616670, 8.833330
5650, 1878, 26.916670, 83.966670
1064, 1868, -28.200000, 24.566670
2000, 1868, 34.400000, -87.066670
100, 1804, 49.866670, 8.650000
7000, 1998, 41.984440, 59.685000
6580, 2008, -1.870890, -79.957560
340, 1887, 43.000000, -80.000000
28, 1829, 40.250000, -74.000000
0.8, 1897, 28.566670, 77.250000
16400, 1911, 51.466670, 84.766670
230, 1967, 39.782500, -104.930560
12500, 2001, 26.683330, 93.866670
25400, 1962, 25.733330, 73.616670
12000, 2001, 19.000000, 81.000000
1140, 1994, 24.225000, 76.525000
45000, 1976, 22.377780, 71.427220
1800, 1848, 14.883330, 75.600000
32000, 1860, 32.233330, 76.466670
3396, 2007, 37.351720, 27.329970
1000, 1906, -33.750000, 18.566670
400, 1957, -31.883330, -60.466670
166000, 1884, -7.500000, 111.500000
3950, 1961, 12.733330, 15.050000
10000, 1999, 36.950000, 9.550000
3840, 1903, 23.500000, 90.333330
1600, 1864, 50.750000, 25.300000
438, 1907, 40.000000, 29.000000
128800, 1995, 45.500000, 119.033330
230, 1899, 21.866670, 82.450000
5500, 1970, 32.916670, 120.783330
3891, 1805, 51.200000, 112.300000
1250, 1962, 13.050000, 3.166670
1161, 1932, 32.333330, -6.300000
642, 1976, -13.666670, 33.916670
5000, 1827, 36.400000, -86.500000
47700, 1939, 42.520000, -82.260000
1900, 1951, 42.458330, 18.441670
30, 1999, -31.666670, 152.833330
2270, 1865, 52.550000, -8.033330
, 1976, 43.333330, 128.250000
13200, 1815, 30.300000, 76.633330
577, 1853, -4.000000, 39.500000
2117, 1943, 33.433330, 127.266670
3230, 1970, -27.200000, 31.316670
300, 1872, 26.250000, 82.000000
188, 1933, -3.000000, 151.000000
10000, 1947, 40.781670, -96.471670
2400, 1961, -17.300000, 15.833330
3000, 1785, 48.900000, 11.216670
3336, 1939, 56.033330, 13.000000
840, 1916, 28.266670, 78.783330
10000, 1989, 34.416670, 3.250000
17226, 1977, 25.370000, -97.370000
5000, 1993, 19.967220, -103.051670
680.5, 1998, 39.246670, -104.588170
107000, 1399, 50.183330, 12.733330
54640, 1951, 47.833330, 37.666670
1470, 1925, 51.750000, 4.000000
127, 1900, -29.466670, 151.616670
8000, 1974, 30.300000, 109.500000
127000, 1491, 47.866670, 7.350000
277, 1822, 48.183330, 6.466670
113, 1940, 19.033330, 81.891670
107.2, 1911, 40.300000, 44.500000
20000, 1889, 1.166670, 44.166670
2250, 1812, 52.216670, 11.250000
1500, 1837, 46.250000, -1.100000
500, 1957, 2.883330, 30.833330
320000, 1879, 43.416670, -94.833330
89400, 1890, 39.750000, -97.033330
56000, 1934, 35.550000, -77.533330
1500, 1844, 44.383330, 2.816670
2360, 1934, 36.050000, -94.166670
380, 1875, 36.883330, 8.450000
3200, 1900, 32.533330, -87.166670
82, 1924, 34.600000, 116.750000
220, 1889, 36.100000, -81.416670
10200, 1996, 43.181110, 13.753330
17600, 1894, 47.816670, -96.850000
3640, 1922, 30.833330, -97.766670
152000, 1890, 43.250000, -93.666670
26000, 1942, -33.350000, 146.858330
6067, 1924, 36.783330, -78.083330
240, 1900, 50.950000, 7.316670
16300, 1829, 33.016670, -83.966670
, 1944, 28.250000, 7.000000
650, 1868, 34.483330, -87.833330
23000, 1945, 31.475560, 113.566940
11620, 1882, 33.183330, 130.200000
, 1654, 55.333330, 10.333330
4000, 1822, 25.950000, 80.816670
2500, 1977, 32.900000, 115.900000
132.69999999999999, 1826, 44.300000, 0.400000
36.1, 1952, 7.050000, 12.433330
28, 1952, 7.050000, 12.433330
5000, 1995, 51.683330, 30.783330
6400, 1897, 27.350000, 68.533330
, 1960, 11.650000, -2.183330
380, 1917, 27.883330, 68.533330
102, 1950, 41.683330, -112.133330
4162, 1984, 12.850000, 11.033330
, 2000, 14.150830, -2.041670
725, 1950, 12.916670, 11.916670
14290, 1909, 35.533330, 136.883330
18000, 1853, 37.316670, 13.566670
480, 1947, 9.600000, 9.916670
670, 1990, 52.200000, 6.866670
1303, 1939, -7.250000, 107.700000
152000, 1918, 57.350000, 37.616670
767, 1991, 52.459720, -0.300000
1750, 1879, 50.666670, 16.766670
1600, 1865, 24.233330, 89.050000
3618, 1974, 48.283330, 38.083330
9000, 1964, 42.900000, 2.250000
45.5, 1976, 60.666670, 11.000000
215, 2009, 43.200000, -79.616670
3500, 1861, 43.666670, 45.383330
10500, 1837, 49.266670, 18.716670
8000, 1881, 46.350000, 30.583330
1000, 1841, 51.933330, 15.500000
690, 1910, 52.866670, 16.633330
22000, 1932, -33.000000, -58.616670
2910, 1996, 39.804170, 122.763890
, 1983, 24.100000, 105.000000
1900, 1980, 37.100000, 118.400000
39000, 1892, 38.733330, -6.016670
1915, 1891, 43.766670, 20.233330
288, 1972, 13.500000, -0.683330
968, 1949, 9.916670, 13.983330
2449, 1982, 22.983330, 76.050000
100000, 1984, 11.491670, 11.658330
5700, 1904, 42.900000, 24.700000
