year,GeoLocation
1840,"(45.083330, 8.300000)"
1998,"(28.533330, 109.316670)"
1814,"(25.366670, 81.666670)"
1907,"(25.850000, 83.483330)"
1933,"(-30.783330, -58.050000)"
1838,"(20.266670, 76.016670)"
1885,"(27.283330, 79.050000)"
1977,"(29.083330, 111.750000)"
1812,"(46.683330, 1.050000)"
Fell,-87.333330,"(36.166670
1810,"(47.933330, 1.566670)"
1834,"(29.483330, 75.500000)"
1815,"(47.716670, 5.366670)"
1841,"(47.933330, 2.916670)"
1925,"(41.933330, -7.466670)"
1988,"(-3.666670, 32.500000)"
2013,"(54.816670, 61.116670)"
2007,"(23.696390, -5.014720)"
1964,"(53.700000, 30.100000)"
1933,"(35.033330, -81.883330)"
1901,"(46.550000, 6.816670)"
1939,"(50.833330, 34.000000)"
1880,"(14.500000, 76.500000)"
1981,"(17.900000, 101.633330)"
1938,"(40.933330, -79.733330)"
Fell,33.395000,"(-10.059440
1966,"(-17.350000, 13.966670)"
1978,"(47.470830, 0.976670)"
1979,"(-6.950000, 108.100000)"
1984,"(32.102500, -81.872780)"
1822,
1917,"(44.900000, -90.283330)"
1838,"(-33.133330, 19.383330)"
1994,"(43.761110, -84.507780)"
1890,"(42.533330, 12.616670)"
1965,"(-19.850000, -47.550000)"
1844,"(21.166670, -100.866670)"
1917,"(10.200000, 76.266670)"
1936,"(35.950000, -97.583330)"
1877,"(-27.700000, 27.300000)"
1892,"(35.633330, -78.133330)"
1902,"(54.616670, -6.216670)"
1919,"(36.833330, -84.350000)"
1877,"(38.400000, -84.250000)"
1981,"(35.616670, 8.833330)"
1878,"(26.916670, 83.966670)"
1868,"(-28.200000, 24.566670)"
1868,"(34.400000, -87.066670)"
1804,"(49.866670, 8.650000)"
1998,"(41.984440, 59.685000)"
2008,"(-1.870890, -79.957560)"
1887,"(43.000000, -80.000000)"
1829,"(40.250000, -74.000000)"
1897,"(28.566670, 77.250000)"
1911,"(51.466670, 84.766670)"
1967,"(39.782500, -104.930560)"
2001,"(26.683330, 93.866670)"
1962,"(25.733330, 73.616670)"
2001,"(19.000000, 81.000000)"
1994,"(24.225000, 76.525000)"
1976,"(22.377780, 71.427220)"
1848,"(14.883330, 75.600000)"
1860,"(32.233330, 76.466670)"
2007,"(37.351720, 27.329970)"
1906,"(-33.750000, 18.566670)"
1957,"(-31.883330, -60.466670)"
1884,"(-7.500000, 111.500000)"
1961,"(12.733330, 15.050000)"
1999,"(36.950000, 9.550000)"
1903,"(23.500000, 90.333330)"
1864,"(50.750000, 25.300000)"
1907,"(40.000000, 29.000000)"
1995,"(45.500000, 119.033330)"
1899,"(21.866670, 82.450000)"
1970,"(32.916670, 120.783330)"
1805,"(51.200000, 112.300000)"
1962,"(13.050000, 3.166670)"
1932,"(32.333330, -6.300000)"
1976,"(-13.666670, 33.916670)"
1827,"(36.400000, -86.500000)"
1939,"(42.520000, -82.260000)"
1951,"(42.458330, 18.441670)"
1999,"(-31.666670, 152.833330)"
1865,"(52.550000, -8.033330)"
1976,"(43.333330, 128.250000)"
1815,"(30.300000, 76.633330)"
1853,"(-4.000000, 39.500000)"
1943,"(33.433330, 127.266670)"
1970,"(-27.200000, 31.316670)"
1872,"(26.250000, 82.000000)"
1933,"(-3.000000, 151.000000)"
1947,"(40.781670, -96.471670)"
1961,"(-17.300000, 15.833330)"
1785,"(48.900000, 11.216670)"
1939,"(56.033330, 13.000000)"
1916,"(28.266670, 78.783330)"
1989,"(34.416670, 3.250000)"
1977,"(25.370000, -97.370000)"
1993,"(19.967220, -103.051670)"
1998,"(39.246670, -104.588170)"
Fell,12.733330,"(50.183330
1951,"(47.833330, 37.666670)"
1925,"(51.750000, 4.000000)"
1900,"(-29.466670, 151.616670)"
1974,"(30.300000, 109.500000)"
1491,"(47.866670, 7.350000)"
1822,"(48.183330, 6.466670)"
1940,"(19.033330, 81.891670)"
1911,"(40.300000, 44.500000)"
1889,"(1.166670, 44.166670)"
1812,"(52.216670, 11.250000)"
1837,"(46.250000, -1.100000)"
1957,"(2.883330, 30.833330)"
1879,"(43.416670, -94.833330)"
1890,"(39.750000, -97.033330)"
1934,"(35.550000, -77.533330)"
1844,"(44.383330, 2.816670)"
1934,"(36.050000, -94.166670)"
1875,"(36.883330, 8.450000)"
1900,"(32.533330, -87.166670)"
1924,"(34.600000, 116.750000)"
1889,"(36.100000, -81.416670)"
1996,"(43.181110, 13.753330)"
1894,"(47.816670, -96.850000)"
1922,"(30.833330, -97.766670)"
1890,"(43.250000, -93.666670)"
1942,"(-33.350000, 146.858330)"
1924,"(36.783330, -78.083330)"
1900,"(50.950000, 7.316670)"
1829,"(33.016670, -83.966670)"
1944,"(28.250000, 7.000000)"
1868,"(34.483330, -87.833330)"
1945,"(31.475560, 113.566940)"
1882,"(33.183330, 130.200000)"
1654,"(55.333330, 10.333330)"
1822,"(25.950000, 80.816670)"
1977,"(32.900000, 115.900000)"
1826,"(44.300000, 0.400000)"
1952,"(7.050000, 12.433330)"
