0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.011494252873563218,0,0,0,0,0.005747126436781609
0,0.005747126436781609,0,0,0.011494252873563218,0,0,0.011494252873563218,0,0
0.005747126436781609,0.011494252873563218,0,0.011494252873563218,0,0,0,0,0,0
0.005747126436781609,0.011494252873563218,0,0,0,0.005747126436781609,0,0,0,0.005747126436781609
0,0.5919540229885057,0.005747126436781609,0,0,0,0,0,0,0
0,0.1724137931034483,0.022988505747126436,0,0,0,0,0,0,0
0,0.028735632183908046,0.017241379310344827,0.005747126436781609,0,0.005747126436781609,0,0,0,0
0,0.011494252873563218,0.005747126436781609,0,0,0,0,0,0,0
0,0.005747126436781609,0,0,0,0,0,0,0,0
